Tipologia_Luogo,Nome_Descrizione,Dettagli_Struttura,Prezzo_Totale,Paga_Zero_Oggi,Cancellazione_Gratuita,URL_Annuncio,Prezzo_Mostra_Totale,Prezzo_Mostra_Notte
Casa vacanze ⋅ Castello,Vista dall'alto dell'appartamento Ducale,"Vista dall'alto dell'appartamento Ducale | 1 camera da letto 1 camera da letto 1 letto matrimoniale , · 1 letto matrimoniale 1 bagno , · 1 bagno | Host professionista Host professionista",4022 € 3487 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/18468430,3487,348.7
Appartamento ⋅ Castello,Residenza Rossella,"Residenza Rossella | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host privato Host privato",4015 € in totale Mostra il dettaglio dei prezzi  4015 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1237758784945891465,4015,401.5
Castello: stanza,Biennale Ensuite Room 2 di Bricola Apartments,"Biennale Ensuite Room 2 di Bricola Apartments | 1 letto a 2 piazze 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",2041 € in totale Mostra il dettaglio dei prezzi  2041 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1498455382684307511,2041,204.1
Appartamento ⋅ Castello,Cà Donà accogliente in centro storico di Venezia,"Cà Donà accogliente in centro storico di Venezia | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",3229 € in totale Mostra il dettaglio dei prezzi  3229 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1519099528659826310,3229,322.9
Casa vacanze ⋅ Venezia,Fuga a Venezia-San Giorgio,"Fuga a Venezia-San Giorgio | 1 camera da letto 1 camera da letto 1 letto matrimoniale , · 1 letto matrimoniale 1 bagno , · 1 bagno | Host professionista Host professionista",3550 € 3027 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/7624650,3027,302.7
Appartamento ⋅ Venezia,"Casa Dolce Riva: affascinante, autentica e tranquilla, 2 bagni","Casa Dolce Riva: affascinante, autentica e tranquilla, 2 bagni | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 2 bagni , · 2 bagni | Host privato Host privato",3862 € in totale Mostra il dettaglio dei prezzi  3862 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1415229937655660204,3862,386.2
B&B a Venezia,B&B di Alfonso,B&B di Alfonso | 2 camere disponibili 2 camere disponibili,2247 €  2019 € 2019 € in totale. Prezzo originario: 2247 €  in totale,No,No,https://www.airbnb.it/rooms/1295650,2019,201.9
Appartamento ⋅ Venezia,Ca' del Papa - Riva Gold Apartment,"Ca' del Papa - Riva Gold Apartment | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3466 € 3166 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1609457874045175465,3166,316.6
Appartamento ⋅ Lido di Venezia,Mary Rose Guest House (Casa di Maria Rosa) Venezia,"Mary Rose Guest House (Casa di Maria Rosa) Venezia | 3 camere da letto 3 camere da letto 7 letti , · 7 letti 2 bagni , · 2 bagni | Host privato Host privato",17.675 € in totale Mostra il dettaglio dei prezzi  17.675 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1075299871768616102,17675,1767.5
Appartamento ⋅ Lido di Venezia,Appartamenti Ca' Barbarigo,"Appartamenti Ca' Barbarigo | 3 camere da letto 3 camere da letto 2 letti , · 2 letti 3 bagni , · 3 bagni | Host privato Host privato",46.318 € 42.318 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1360322103669864742,42318,4231.8
Appartamento ⋅ Venezia,"Lio Piccolo, San Marco -Arsenale","Lio Piccolo, San Marco -Arsenale | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",2697 € in totale Mostra il dettaglio dei prezzi  2697 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/817196070864448954,2697,269.7
Appartamento ⋅ Venezia,Ramo delle Moschette,"Ramo delle Moschette | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",4031 € 3685 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/17074337,3685,368.5
Appartamento ⋅ Venezia,"Ca' Elisabetta, suite","Ca' Elisabetta, suite | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",3298 € 3016 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1450551755916458370,3016,301.6
Appartamento ⋅ Venezia,Ca' di Malta Camera 2 di Wonderful Italy,"Ca' di Malta Camera 2 di Wonderful Italy | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",2380 € in totale Mostra il dettaglio dei prezzi  2380 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1214247863493026146,2380,238.0
Appartamento ⋅ Venezia,Casa al Ponte Scudi - 4 finestre sul canale,"Casa al Ponte Scudi - 4 finestre sul canale | 1 camera da letto 1 camera da letto 3 letti , · 3 letti 2 bagni , · 2 bagni | Host privato Host privato",4610 € 4158 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/54238272,4158,415.8
Appartamento ⋅ Venezia,Cà Magno Luxury Design - Vista sul canale con sauna,"Cà Magno Luxury Design - Vista sul canale con sauna | 2 camere da letto 2 camere da letto 4 letti , · 4 letti 2 bagni , · 2 bagni | Host privato Host privato",4890 € in totale Mostra il dettaglio dei prezzi  4890 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/38237339,4890,489.0
Appartamento ⋅ Venezia,"Ca' Elena, splendida vista sul canale Biennale","Ca' Elena, splendida vista sul canale Biennale | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",5352 € in totale Mostra il dettaglio dei prezzi  5352 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1424444384465055462,5352,535.2
Appartamento ⋅ Venezia,"Appartamento con terrazza BIENNALE & S. MARK, POSIZIONE TOP!","Appartamento con terrazza BIENNALE & S. MARK, POSIZIONE TOP! | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",3306 € in totale Mostra il dettaglio dei prezzi  3306 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/29640692,3306,330.6
Appartamento ⋅ Venezia,"Nicoli, comodo appartamento nella Venezia più viva","Nicoli, comodo appartamento nella Venezia più viva | 1 camera da letto 1 camera da letto 3 letti singoli , · 3 letti singoli 1 bagno , · 1 bagno | Host professionista Host professionista",3552 € in totale Mostra il dettaglio dei prezzi  3552 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/363885,3552,355.2
Casa ⋅ Venezia,Ca' Pittore - Arsenale,"Ca' Pittore - Arsenale | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",8386 € in totale Mostra il dettaglio dei prezzi  8386 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1648456452455703092,8386,838.6
Appartamento ⋅ Venezia,5 minutes from Biennale con corte privata,"5 minutes from Biennale con corte privata | 2 camere da letto 2 camere da letto 2 letti a 2 piazze , · 2 letti a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",13.458 € in totale Mostra il dettaglio dei prezzi  13.458 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1616712093621989636,13458,1345.8
Appartamento ⋅ Venezia,Celestia Castello in vaporetto,"Celestia Castello in vaporetto | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3740 € 3403 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/51279783,3403,340.3
Appartamento ⋅ Castello,Ca' Venier Accogliente appartamento R&R,"Ca' Venier Accogliente appartamento R&R | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",3359 € in totale Mostra il dettaglio dei prezzi  3359 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1637586443925629770,3359,335.9
Appartamento ⋅ Castello,Lo stile veneziano di Daniela nel centro storico di Venezia,"Lo stile veneziano di Daniela nel centro storico di Venezia | 2 camere da letto 2 camere da letto 4 letti , · 4 letti 2 bagni , · 2 bagni | Host professionista Host professionista",4158 € in totale Mostra il dettaglio dei prezzi  4158 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/875123278384610667,4158,415.8
Casa galleggiante ⋅ Castello,AQVA Houseboat sulla Laguna di Venezia - Venezia,"AQVA Houseboat sulla Laguna di Venezia - Venezia | 3 camere da letto 3 camere da letto 1 bagno , · 1 bagno | Host privato Host privato",14.300 € 8780 € in totale Mostra il dettaglio dei prezzi  ,No,No,https://www.airbnb.it/rooms/830353311598780523,8780,878.0
Appartamento ⋅ Castello,Martino vista canale,"Martino vista canale | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host privato Host privato",5350 € 4819 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1373272825190013523,4819,481.9
Appartamento ⋅ Castello,Loft veneziano,"Loft veneziano | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1,5 bagni (anche di servizio) , · 1,5 bagni (anche di servizio) | Host professionista Host professionista",10.756 € in totale Mostra il dettaglio dei prezzi  10.756 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1242528494463824221,10756,1075.6
Appartamento ⋅ Castello,Lussuoso appartamento per 3 persone in Piazza San Marco,"Lussuoso appartamento per 3 persone in Piazza San Marco | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",5310 € 4779 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/15800196,4779,477.9
Appartamento ⋅ Castello,2 Camere nel Cuore di Castello • Biennale a piedi,"2 Camere nel Cuore di Castello • Biennale a piedi | 2 camere da letto 2 camere da letto 1 bagno , · 1 bagno | Host privato Host privato",3874 € in totale Mostra il dettaglio dei prezzi  3874 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/50452700,3874,387.4
Appartamento ⋅ Castello,Appartamento Casanova San Marco,"Appartamento Casanova San Marco | 2 camere da letto 2 camere da letto 1 letto , · 1 letto 1 bagno , · 1 bagno | Host privato Host privato",3292 € 3007 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1442043659384958544,3007,300.7
Appartamento ⋅ Castello,LN Homes Venice San Marco vista canale,"LN Homes Venice San Marco vista canale | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host privato Host privato",3125 € in totale Mostra il dettaglio dei prezzi  3125 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/16670834,3125,312.5
Appartamento ⋅ Castello,Appartamento di lusso per 2 persone in Piazza San Marco,"Appartamento di lusso per 2 persone in Piazza San Marco | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze 1 bagno , · 1 bagno | Host professionista Host professionista",4130 € 3717 € in totale Mostra il dettaglio dei prezzi  Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/15798810,3717,371.7
Appartamento ⋅ Castello,"Venicevillas - Ca' Rosalba, zona Biennale","Venicevillas - Ca' Rosalba, zona Biennale | 2 camere da letto 2 camere da letto 4 letti , · 4 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3387 € in totale Mostra il dettaglio dei prezzi  3387 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/28077021,3387,338.7
Appartamento ⋅ Castello,Ca’ Venier – Appartamento con balcone R&r,"Ca’ Venier – Appartamento con balcone R&r | 2 camere da letto 2 camere da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",4148 € in totale Mostra il dettaglio dei prezzi  4148 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1637586534457253152,4148,414.8
Appartamento ⋅ Castello,Terrazza della suite Lion Palace R&r,"Terrazza della suite Lion Palace R&r | 1 camera da letto 1 camera da letto 1 letto a 2 piazze , · 1 letto a 2 piazze Bagno di servizio , · Bagno di servizio | Host professionista Host professionista",9667 € in totale Mostra il dettaglio dei prezzi  9667 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/49727247,9667,966.7
Appartamento ⋅ Castello,Castello centro: luminoso tra Biennale e San Marco,"Castello centro: luminoso tra Biennale e San Marco | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host privato Host privato",3357 € in totale Mostra il dettaglio dei prezzi  3357 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/645423149621301474,3357,335.7
Appartamento ⋅ Castello,Ca' Piera Rossa,"Ca' Piera Rossa | 1 camera da letto 1 camera da letto 1 letto , · 1 letto 1 bagno , · 1 bagno | Host privato Host privato",4628 € in totale Mostra il dettaglio dei prezzi  4628 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1080378951629944153,4628,462.8
Appartamento ⋅ Castello,Comodo bilocale Via Garibaldi / Biennale,"Comodo bilocale Via Garibaldi / Biennale | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3652 € in totale Mostra il dettaglio dei prezzi  3652 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/43814550,3652,365.2
Appartamento ⋅ Castello,"Appartamento ""Terrazza"" 2 pax, vicino a Piazza San Marco","Appartamento ""Terrazza"" 2 pax, vicino a Piazza San Marco | 1 camera da letto 1 camera da letto 1 letto matrimoniale , · 1 letto matrimoniale 1 bagno , · 1 bagno | Host professionista Host professionista",4484 € in totale Mostra il dettaglio dei prezzi  4484 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/29815301,4484,448.4
Appartamento ⋅ Castello,Splendido appartamento in Piazza San Marco vicino a Ca-Sa Check,"Splendido appartamento in Piazza San Marco vicino a Ca-Sa Check | 2 camere da letto 2 camere da letto 2 letti a 2 piazze , · 2 letti a 2 piazze 2 bagni , · 2 bagni | Host privato Host privato",3491 € in totale Mostra il dettaglio dei prezzi  3491 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1212781884533321784,3491,349.1
Appartamento ⋅ Venezia,Venezia Ca San Marco con vista sul canale di Wonderful Italy,"Venezia Ca San Marco con vista sul canale di Wonderful Italy | 2 camere da letto 2 camere da letto 3 letti , · 3 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3300 € in totale Mostra il dettaglio dei prezzi  3300 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/1004797902509902922,3300,330.0
Appartamento ⋅ Venezia,Ampio e luminoso monolocale con vista canale,"Ampio e luminoso monolocale con vista canale | 1 camera da letto 1 camera da letto 2 letti , · 2 letti 1 bagno , · 1 bagno | Host professionista Host professionista",3816 € in totale Mostra il dettaglio dei prezzi  3816 € in totale Cancellazione gratuita,No,Sì,https://www.airbnb.it/rooms/44548061,3816,381.6
